id,bin,toilet_id,created_at,updated_at,deleted_at
1,B011615,4,,,
2,B011647,4,,,
3,B011659,4,,,
4,B011687,4,,,
5,B011701,4,,,
6,B011726,4,,,
7,B011743,4,,,
8,B011752,4,,,
9,B011769,4,,,
10,B011789,4,,,
11,B011797,4,,,
12,B011799,4,,,
13,B011800,4,,,
14,B011811,4,,,
15,B011816,4,,,
16,B011825,4,,,
17,B015078,3,,,
18,B014770,3,,,
19,B014908,3,,,
20,B014923,3,,,
21,B014966,3,,,
22,B014970,3,,,
23,B014987,3,,,
24,B014988,3,,,
25,B014989,3,,,
26,B014995,3,,,
27,B014998,3,,,
28,B015029,3,,,
29,B015042,3,,,
30,B015046,3,,,
31,B015067,3,,,
32,B015083,3,,,
33,B015084,3,,,
34,B015089,3,,,
35,B015091,3,,,
36,B015092,3,,,
37,B015101,3,,,
38,B015104,3,,,
39,B015108,3,,,
40,B015110,3,,,
41,B015126,3,,,
42,B015128,3,,,
43,B015130,3,,,
44,B015134,3,,,
45,B015141,3,,,
46,B015151,3,,,
47,B015155,3,,,
48,B015191,3,,,
